City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Nantucket,US,2021-09-25 02:42:23,41.2835,-70.0995,71.96,94,20,12.66
1,Alofi,NU,2021-09-25 02:39:25,-19.0595,-169.9187,75.09,83,27,10.36
2,Mar Del Plata,AR,2021-09-25 02:34:50,-38.0023,-57.5575,55.13,59,0,1.99
3,Yumen,CN,2021-09-25 02:46:32,40.2833,97.2,57.97,40,9,15.93
4,Portland,US,2021-09-25 02:36:17,45.5234,-122.6762,81.18,42,1,1.01
5,Ankang,CN,2021-09-25 02:46:32,32.68,109.0172,81.82,74,96,3.15
6,Keti Bandar,PK,2021-09-25 02:46:33,24.1447,67.4497,84.38,76,78,6.02
7,Mataura,NZ,2021-09-25 02:38:24,-46.1927,168.8643,47.48,86,96,10.71
8,Puerto Ayora,EC,2021-09-25 02:38:14,-0.7393,-90.3518,69.55,89,86,5.7
9,Tiksi,RU,2021-09-25 02:39:09,71.6872,128.8694,33.89,76,100,20.69
10,Inverness,GB,2021-09-25 02:46:33,57.4791,-4.224,53.51,93,55,3.44
11,Kourou,GF,2021-09-25 02:46:33,5.1552,-52.6478,83.1,89,89,6.51
12,Busselton,AU,2021-09-25 02:38:15,-33.65,115.3333,61.05,55,3,16.46
13,Thompson,CA,2021-09-25 02:35:01,55.7435,-97.8558,42.96,93,90,10.36
14,Taveta,KE,2021-09-25 02:46:34,-3.3963,37.6736,65.98,84,79,3.2
15,Joniskis,LT,2021-09-25 02:46:34,56.2403,23.6153,52.72,93,100,14.34
16,Torbay,CA,2021-09-25 02:35:31,47.6666,-52.7314,47.57,83,75,6.91
17,Antalaha,MG,2021-09-25 02:46:35,-14.9003,50.2788,70.18,90,93,7.34
18,Kahului,US,2021-09-25 02:37:12,20.8947,-156.47,84.22,70,40,20.71
19,Port Elizabeth,ZA,2021-09-25 02:37:29,-33.918,25.5701,50.29,93,0,1.14
20,Punta Arenas,CL,2021-09-25 02:38:13,-53.15,-70.9167,37.51,87,40,11.5
21,Zhangjiakou,CN,2021-09-25 02:46:35,40.81,114.8794,62.44,88,98,9.69
22,Vaini,TO,2021-09-25 02:38:25,-21.2,-175.2,75.36,73,20,12.66
23,Rikitea,PF,2021-09-25 02:36:32,-23.1203,-134.9692,74.05,79,100,16.71
24,Jamestown,US,2021-09-25 02:35:28,42.097,-79.2353,57.72,83,1,1.01
25,Cape Town,ZA,2021-09-25 02:35:43,-33.9258,18.4232,54.27,92,75,2.3
26,Westport,US,2021-09-25 02:38:38,41.1415,-73.3579,67.17,88,1,3.0
27,Barrow,US,2021-09-25 02:36:48,71.2906,-156.7887,28.42,93,75,0.0
28,Albany,US,2021-09-25 02:35:28,42.6001,-73.9662,56.62,86,1,1.63
29,Xining,CN,2021-09-25 02:46:36,36.6167,101.7667,62.22,56,100,4.14
30,Ahipara,NZ,2021-09-25 02:39:13,-35.1667,173.1667,60.58,69,6,8.99
31,Sadao,TH,2021-09-25 02:46:36,6.6388,100.4234,83.73,61,95,3.85
32,Ilulissat,GL,2021-09-25 02:38:50,69.2167,-51.1,24.82,54,75,2.3
33,Dikson,RU,2021-09-25 02:36:54,73.5069,80.5464,35.96,88,100,17.38
34,Tilichiki,RU,2021-09-25 02:39:33,60.4667,166.1,45.19,40,98,4.27
35,Mandera,KE,2021-09-25 02:40:05,3.9366,41.867,75.56,58,74,11.14
36,East London,ZA,2021-09-25 02:39:00,-33.0153,27.9116,59.88,75,21,8.19
37,Coquimbo,CL,2021-09-25 02:46:14,-29.9533,-71.3436,55.13,94,90,0.0
